,Unnamed: 0,S1,S2,VECM(q),Johansen_intercept,Johansen_slope,Johansen_std,VECM_Model_Type,w1,w2,Del_min
6592,10685,PRU.N,WM.N,0.0,0.0,0.0,0.0006466729070513,1.0,-0.4954563061378005,0.5045436938621994,16.0
6593,10686,PRU.N,WMT.N,1.0,-4.587722325119783,0.0,0.0020485959352077,3.0,-0.991757160536152,-0.0082428394638479,16.0
6594,10687,PRU.N,WTW.OQ,1.0,-4.532264327960394,0.0,0.0012382124658746,3.0,-0.8524971666673669,-0.1475028333326331,16.0
6595,10688,PRU.N,XEL.OQ,0.0,4.459997350443624,0.0,0.0016055152872214,2.0,0.8156726924473835,0.1843273075526165,16.0
6596,10689,PRU.N,XOM.N,1.0,0.0,0.0,0.0005532825173472,1.0,-0.4900597267034694,0.5099402732965307,16.0
6597,10690,PRU.N,XRAY.OQ,1.0,-4.173203473712033,0.0001094179467938,0.0013007511502243,4.0,-0.5593016682113324,-0.4406983317886677,16.0
6598,10691,PRU.N,YUM.N,1.0,-4.570821940765462,0.0,0.0015184184596018,3.0,-0.8121122663056962,-0.1878877336943037,16.0
6599,10692,PRU.N,ZBH.N,0.0,-4.734836402286444,7.128717503066459e-05,0.0008833955607425,4.0,-0.4347563617481337,-0.5652436382518663,16.0
6600,10693,PRU.N,ZBRA.OQ,1.0,-3.88532233352248,0.0,0.0014965666655322,2.0,-0.927578735602325,0.072421264397675,16.0
6601,10694,PSX.N,RF.N,1.0,1.884036131178284,0.0,0.0014376642805958,3.0,-0.1282750773869116,0.8717249226130884,16.0
6602,10695,PSX.N,RSG.N,1.0,4.281633932065371,0.0,0.0005331041087664,3.0,0.0028076645135609,0.997192335486439,16.0
6603,10696,PSX.N,TRMB.OQ,1.0,1.4583417937002767,-0.0001421721629516,0.0009582325783105,4.0,-0.266125291859724,0.733874708140276,16.0
6604,10697,PSX.N,TSN.N,1.0,-2.250961702087294,0.0,0.0007074111259819,2.0,0.2148232271499878,-0.7851767728500122,16.0
6605,10698,PSX.N,VRSK.OQ,1.0,4.74615961359942,0.0,0.0009641199634721,3.0,0.1206359563177833,0.8793640436822167,16.0
6606,10699,PSX.N,WMT.N,1.0,2.1425225059791635,0.0,0.0008207718503585,3.0,-0.2636732656512517,0.7363267343487483,16.0
6607,10700,PSX.N,XEL.OQ,1.0,4.031172772406788,9.71469619754114e-05,0.0007839118589955,5.0,0.1966445508828332,0.8033554491171667,16.0
6608,10701,PSX.N,XOM.N,1.0,-3.658537698086012,0.0,0.0007113227012415,2.0,0.0829407324883041,-0.917059267511696,16.0
6609,10702,PSX.N,ZBRA.OQ,1.0,2.2496491714639157,-0.0001550026292099,0.0009843868848832,4.0,-0.2950034695564567,0.7049965304435434,16.0
6610,10703,PSX.N,ZION.OQ,1.0,3.318260948594232,0.0,0.0017886514506599,3.0,-0.0642834764262386,0.9357165235737614,16.0
6611,10704,PTC.OQ,QCOM.OQ,1.0,0.0,0.0,0.0006394303748829,1.0,-0.4791798314567674,0.5208201685432327,16.0
6612,10705,PTC.OQ,ROK.N,1.0,0.0,0.0,0.0009015804417945,1.0,-0.5287966613136742,0.4712033386863258,16.0
6613,10706,PTC.OQ,ROL.N,1.0,1.7261996657238623,0.0,0.0008108560409444,2.0,-0.2698800281730931,0.7301199718269069,16.0
6614,10707,PTC.OQ,RSG.N,1.0,4.287352809517247,0.0,0.000607878428346,2.0,0.0243813802615528,0.9756186197384472,16.0
6615,10708,PTC.OQ,SWKS.OQ,1.0,0.0,0.0,0.0005729554345499,1.0,-0.4949466818684971,0.5050533181315029,16.0
6616,10709,PTC.OQ,TYL.N,1.0,-2.0153181452865567,3.614719417607296e-05,0.0005826136408484,4.0,0.3387245838531794,-0.6612754161468206,16.0
6617,10710,PTC.OQ,UNP.N,1.0,2.607036775145808,0.0,0.0007923535539585,3.0,-0.250797371524516,0.749202628475484,16.0
6618,10711,PTC.OQ,UPS.N,1.0,4.725189091497613,0.0,0.0012313845927064,2.0,0.1379002693934289,0.8620997306065711,16.0
6619,10712,PTC.OQ,VRSK.OQ,1.0,3.268262324752998,0.0,0.0007915309743214,3.0,-0.1602442677271156,0.8397557322728845,16.0
6620,10713,PTC.OQ,WTW.OQ,1.0,0.0,0.0,0.0009449831696506,1.0,-0.4805512581147612,0.5194487418852388,16.0
6621,10714,PTC.OQ,XRAY.OQ,1.0,3.884251379548486,-0.0002135810137451,0.003475726051477,4.0,0.2598284743965934,0.7401715256034065,16.0
6622,10715,PTC.OQ,XYL.N,1.0,2.1346661414903045,0.0,0.0008885464018234,2.0,-0.2401344959178463,0.7598655040821537,16.0
6623,10716,PWR.N,WYNN.OQ,1.0,0.5924124520245215,-9.266486758855092e-05,0.0007449104193002,4.0,-0.5054659643826732,0.4945340356173267,16.0
6624,10717,PWR.N,ZION.OQ,0.0,0.0,0.0,0.0004964136287079,1.0,-0.5264386453373927,0.4735613546626073,16.0
6625,10718,PXD.N,ROK.N,1.0,0.0,0.0,0.0008279245918609,1.0,-0.4987404037020591,0.501259596297941,16.0
6626,10719,PXD.N,ROL.N,2.0,1.415191359431234,0.0,0.0008130572955893,3.0,-0.2866449583653173,0.7133550416346828,16.0
6627,10720,PXD.N,RSG.N,0.0,2.60338155747706,2.180483827678076e-05,0.0003538516183911,4.0,-0.1779970433592322,0.8220029566407677,16.0
6628,10721,PXD.N,T.N,1.0,3.667952923905612,0.0,0.0011911576682156,3.0,0.1077735468479243,0.8922264531520756,16.0
6629,10722,PXD.N,UPS.N,0.0,-4.773004605392208,0.0,0.0010890564394374,2.0,-0.0540855779093997,-0.9459144220906004,16.0
6630,10723,PXD.N,USB.N,1.0,4.22723493968643,0.0,0.0008733749973979,3.0,0.2275153820112281,0.7724846179887719,16.0
6631,10724,QCOM.OQ,RSG.N,1.0,3.521081735116627,9.465623694167442e-06,0.0004754378058969,5.0,-0.0896052547199055,0.9103947452800945,16.0
6632,10725,QCOM.OQ,UNP.N,1.0,4.9882018260113385,-4.224573439329864e-05,0.0009910186353006,4.0,0.0226698687804529,0.9773301312195471,16.0
6633,10726,QCOM.OQ,VRSK.OQ,1.0,3.024414321734189,0.0,0.0008034520716553,3.0,-0.194013481086166,0.805986518913834,16.0
6634,10727,QCOM.OQ,WM.N,1.0,3.7486068735659535,1.7493636927369353e-05,0.000498224721976,4.0,-0.0869263532261778,0.9130736467738224,16.0
6635,10728,QCOM.OQ,WTW.OQ,1.0,0.0,0.0,0.000880620133931,1.0,-0.501378150946174,0.4986218490538261,16.0
6636,10729,QCOM.OQ,XRAY.OQ,1.0,3.953071679958205,-0.0001542080387922,0.001335759645349,4.0,0.5599497903970166,0.4400502096029833,16.0
6637,10730,QCOM.OQ,XYL.N,1.0,1.5791831973580148,0.0,0.0006778952702024,3.0,-0.3163330461055849,0.6836669538944151,16.0
6638,10731,QRVO.OQ,RF.N,1.0,0.0,0.0,,1.0,-0.3979924096603629,0.6020075903396371,16.0
6639,10732,QRVO.OQ,RSG.N,0.0,-4.282036314610645,0.0,0.0005180216944482,2.0,-0.062664214597027,-0.937335785402973,16.0
6640,10733,QRVO.OQ,SEDG.OQ,0.0,0.0,0.0,0.0012811761268443,1.0,-0.4622789261156812,0.5377210738843188,16.0
6641,10734,QRVO.OQ,SYF.N,0.0,0.0,0.0,,1.0,0.4425146171202775,-0.5574853828797225,16.0
6642,10735,QRVO.OQ,TAP.N,0.0,0.0,0.0,,1.0,-0.4876633551427402,0.5123366448572597,16.0
6643,10736,QRVO.OQ,TSN.N,0.0,0.0,0.0,,1.0,0.4900042736871384,-0.5099957263128616,16.0
6644,10737,QRVO.OQ,UHS.N,0.0,4.759699094923288,-4.594673015680077e-05,0.0008198248961342,5.0,0.1608481892583352,0.8391518107416648,16.0
6645,10738,QRVO.OQ,UNP.N,0.0,4.610470943301194,-3.956260068783098e-05,0.0008432118270404,4.0,-0.0425696943287853,0.9574303056712148,16.0
6646,10739,QRVO.OQ,UPS.N,0.0,-4.696153395409501,0.0,0.0012157678676431,2.0,-0.1248027733541683,-0.8751972266458317,16.0
6647,10740,QRVO.OQ,URI.N,1.0,0.0,0.0,0.0014294494824781,1.0,-0.5273100747777276,0.4726899252222724,16.0
6648,10741,QRVO.OQ,XEL.OQ,0.0,0.0,0.0,,1.0,0.4732802337775214,-0.5267197662224786,16.0
6649,10742,QRVO.OQ,XRAY.OQ,1.0,3.935871029200828,-0.0001664710707361,0.0016116114536236,4.0,0.440021320174564,0.559978679825436,16.0
6650,10743,QRVO.OQ,ZION.OQ,0.0,0.0,0.0,,1.0,-0.4732227209003454,0.5267772790996547,16.0
6651,10744,REGN.OQ,TRV.N,1.0,-5.258025526389425,0.0,0.000909106771274,2.0,-0.3703693989025911,-0.6296306010974089,16.0
6652,10745,REGN.OQ,UNP.N,0.0,2.5817420942453517,0.0,0.0007644672674018,3.0,-0.2205942508428501,0.7794057491571499,16.0
6653,10746,REGN.OQ,UPS.N,0.0,-4.767914833212138,0.0,0.0016728597578896,2.0,-0.0123421803294232,-0.9876578196705768,16.0
6654,10747,REGN.OQ,USB.N,1.0,4.012376639190194,4.1301083400425776e-05,0.0013909641397527,5.0,0.0273216624912825,0.9726783375087176,16.0
6655,10748,REGN.OQ,XOM.N,1.0,4.531119959511988,0.0,0.000879743641831,3.0,0.0778914981858009,0.922108501814199,16.0
6656,10749,REGN.OQ,XRAY.OQ,1.0,3.707781480938703,-0.0002440461452561,0.0043363053348084,4.0,0.0260776274785308,0.9739223725214692,16.0
